país Name,país Code,serie Name,serie Code,2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
República Dominicana,DOM,Comercio de servicios (% del PIB),BG.GSR.NFSV.GD.ZS,15.2051347617793,15.581369990941,15.2625383715714,9.87307931927984,13.2052672944907
República Dominicana,DOM,"Comercio neto de bienes y servicios (balanza de pagos, US$ a precios actuales)",BN.GSR.GNFS.CD,-2049900000,-4062700000,-4016800000,-5412500000,-8032300000
República Dominicana,DOM,Comercio (% del PIB),NE.TRD.GNFS.ZS,50.2250854248266,52.0559663874181,51.0111449209557,44.2936565524675,52.7348670680051
República Dominicana,DOM,"Población activa, total",SL.TLF.TOTL.IN,4752184,4931651,5114924,4804576,5027108
República Dominicana,DOM,Población urbana,SP.URB.TOTL,8547288,8728047,8904426,9079123,9251516
Venezuela,VEN,Personas que usan Internet (% de la población),IT.NET.USER.ZS,61.6,..,..,..,..
Venezuela,VEN,Servidores de Internet seguros,IT.NET.SECR,8626,7956,6191,5531,..
Venezuela,VEN,Comercio de mercaderías (% del PIB),TG.VAL.TOTL.GD.ZS,..,..,..,..,..
Venezuela,VEN,Comercio de servicios (% del PIB),BG.GSR.NFSV.GD.ZS,..,..,..,..,..
Venezuela,VEN,"Comercio neto de bienes y servicios (balanza de pagos, US$ a precios actuales)",BN.GSR.GNFS.CD,..,..,..,..,..
Venezuela,VEN,Comercio (% del PIB),NE.TRD.GNFS.ZS,..,..,..,..,..
Venezuela,VEN,"Población activa, total",SL.TLF.TOTL.IN,13066969,12248909,10911942,10303923,10244756
Venezuela,VEN,Población urbana,SP.URB.TOTL,26951752,26308612,25564613,25151087,24907533
Chile,CHL,Personas que usan Internet (% de la población),IT.NET.USER.ZS,82.32748693,84.9,86.1,88.3,..
Chile,CHL,Servidores de Internet seguros,IT.NET.SECR,134062,151206,208732,246876,..
Chile,CHL,Comercio de mercaderías (% del PIB),TG.VAL.TOTL.GD.ZS,48.5057920392316,50.5923013789337,49.7690589343001,52.7434337568543,58.9399101114338
Chile,CHL,Comercio de servicios (% del PIB),BG.GSR.NFSV.GD.ZS,8.68332326113165,8.73142123646159,8.97745801315895,7.38165123932192,7.53653453389369
Chile,CHL,"Comercio neto de bienes y servicios (balanza de pagos, US$ a precios actuales)",BN.GSR.GNFS.CD,1879849955.37102,-2932905994.96064,-5068925697.80609,11615622289.3252,-1451165996.23634
Chile,CHL,Comercio (% del PIB),NE.TRD.GNFS.ZS,56.0261589675918,58.1770506334403,57.5279738495935,58.5041598225598,64.4322387505836
Chile,CHL,"Población activa, total",SL.TLF.TOTL.IN,8864807,9053183,9208103,8685869,8684417
Chile,CHL,Población urbana,SP.URB.TOTL,16070668,16375738,16686776,16931587,17118329
Ecuador,ECU,Personas que usan Internet (% de la población),IT.NET.USER.ZS,55.8,57.5,59.2,70.7,..
Ecuador,ECU,Servidores de Internet seguros,IT.NET.SECR,3524,4538,5448,6711,..
Ecuador,ECU,Comercio de mercaderías (% del PIB),TG.VAL.TOTL.GD.ZS,37.5201846454848,41.6550423640288,41.5260630690183,38.5462450802753,49.3435432439274
Ecuador,ECU,Comercio de servicios (% del PIB),BG.GSR.NFSV.GD.ZS,6.42923326970075,6.67954727108073,6.92774953583672,4.62774971154592,6.29345860229756
Ecuador,ECU,"Comercio neto de bienes y servicios (balanza de pagos, US$ a precios actuales)",BN.GSR.GNFS.CD,-493301197.284883,-890012491.886996,229951561.634845,2523290847.77073,757676583.26759
Ecuador,ECU,Comercio (% del PIB),NE.TRD.GNFS.ZS,42.4217213910174,46.3621309486896,46.0768211909258,41.3752300759532,51.3860085688935
Ecuador,ECU,"Población activa, total",SL.TLF.TOTL.IN,8190955,8227052,8387366,7769265,8527976
Ecuador,ECU,Población urbana,SP.URB.TOTL,10630944,10859572,11097565,11285898,11454802
